step,item,status,reinserts,hit_ratio
74,<*>:<*> Served block blk_<*> to /<*>,MISS,0,0.891892
75,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.893333
76,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.894737
77,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.896104
78,<*>:<*>:Got exception while serving blk_<*> to /<*>:,MISS,0,0.884615
79,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.886076
80,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.887500
81,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.888889
82,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.890244
83,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.891566
84,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.892857
85,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.894118
86,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.895349
87,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.896552
88,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.897727
89,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.898876
90,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.900000
91,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.901099
92,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.902174
93,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.903226
94,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.904255
95,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.905263
96,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.906250
97,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.907216
98,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.908163
99,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.909091
100,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.910000
101,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.910891
102,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.911765
103,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.912621
104,Received block blk_<*> of size <*> from /<*>,HIT,0,0.913462
105,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.914286
106,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.915094
107,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.915888
108,Received block blk_<*> of size <*> from /<*>,HIT,0,0.916667
109,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.917431
110,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.918182
111,Received block blk_<*> of size <*> from /<*>,HIT,0,0.918919
112,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.919643
113,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.920354
114,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.921053
115,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.921739
116,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.922414
117,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.923077
118,Received block blk_<*> of size <*> from /<*>,HIT,0,0.923729
119,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.924370
120,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.925000
121,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.925620
122,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.926230
123,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.926829
124,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.927419
125,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.928000
126,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.928571
127,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.929134
128,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.929688
129,Received block blk_<*> of size <*> from /<*>,HIT,0,0.930233
130,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.930769
131,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.931298
132,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.931818
133,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.932331
134,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.932836
135,Received block blk_<*> of size <*> from /<*>,HIT,0,0.933333
136,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.933824
137,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.934307
138,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.934783
139,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.935252
140,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.935714
141,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.936170
142,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.936620
143,Received block blk_<*> of size <*> from /<*>,HIT,0,0.937063
144,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.937500
145,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.937931
146,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.938356
147,Received block blk_<*> of size <*> from /<*>,HIT,0,0.938776
148,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.939189
149,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.939597
150,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.940000
151,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.940397
152,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.940789
153,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.941176
154,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.941558
155,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.941935
156,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.942308
157,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.942675
158,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.943038
159,Received block blk_<*> of size <*> from /<*>,HIT,0,0.943396
160,Received block blk_<*> of size <*> from /<*>,HIT,0,0.943750
161,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.944099
162,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.944444
163,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.944785
164,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.945122
165,Received block blk_<*> of size <*> from /<*>,HIT,0,0.945455
166,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.945783
167,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.946108
168,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.946429
169,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.946746
170,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.947059
171,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.947368
172,Received block blk_<*> of size <*> from /<*>,HIT,0,0.947674
173,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.947977
174,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.948276
175,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.948571
176,Verification succeeded for blk_<*>,HIT,0,0.948864
177,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.949153
178,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.949438
179,Received block blk_<*> of size <*> from /<*>,HIT,0,0.949721
180,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.950000
181,Received block blk_<*> of size <*> from /<*>,HIT,0,0.950276
182,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.950549
183,Received block blk_<*> of size <*> from /<*>,HIT,0,0.950820
184,Received block blk_<*> of size <*> from /<*>,HIT,0,0.951087
185,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.951351
186,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.951613
187,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.951872
188,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.952128
189,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.952381
190,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.952632
191,Received block blk_<*> of size <*> from /<*>,HIT,0,0.952880
192,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.953125
193,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.953368
194,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.953608
195,Received block blk_<*> of size <*> from /<*>,HIT,0,0.953846
196,Received block blk_<*> of size <*> from /<*>,HIT,0,0.954082
197,Verification succeeded for blk_<*>,HIT,0,0.954315
198,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.954545
199,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.954774
200,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.955000
201,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.955224
202,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.955446
203,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.955665
204,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.955882
205,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.956098
206,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.956311
207,Received block blk_<*> of size <*> from /<*>,HIT,0,0.956522
208,Received block blk_<*> of size <*> from /<*>,HIT,0,0.956731
209,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.956938
210,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.957143
211,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.957346
212,Received block blk_<*> of size <*> from /<*>,HIT,0,0.957547
213,Received block blk_<*> of size <*> from /<*>,HIT,0,0.957746
214,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.957944
215,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.958140
216,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.958333
217,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.958525
218,Received block blk_<*> of size <*> from /<*>,HIT,0,0.958716
219,Received block blk_<*> of size <*> from /<*>,HIT,0,0.958904
220,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.959091
221,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.959276
222,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.959459
223,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.959641
224,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.959821
225,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.960000
226,Received block blk_<*> of size <*> from /<*>,HIT,0,0.960177
227,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.960352
228,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.960526
229,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.960699
230,Received block blk_<*> of size <*> from /<*>,HIT,0,0.960870
231,Received block blk_<*> of size <*> from /<*>,HIT,0,0.961039
232,Received block blk_<*> of size <*> from /<*>,HIT,0,0.961207
233,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.961373
234,Received block blk_<*> of size <*> from /<*>,HIT,0,0.961538
235,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.961702
236,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.961864
237,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.962025
238,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.962185
239,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.962343
240,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.962500
241,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.962656
242,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.962810
243,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.962963
244,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.963115
245,Received block blk_<*> of size <*> from /<*>,HIT,0,0.963265
246,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.963415
247,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.963563
248,Received block blk_<*> of size <*> from /<*>,HIT,0,0.963710
249,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.963855
250,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.964000
251,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.964143
252,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.964286
253,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.964427
254,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.964567
255,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.964706
256,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.964844
257,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.964981
258,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.965116
259,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.965251
260,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.965385
261,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.965517
262,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.965649
263,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.965779
264,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.965909
265,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.966038
266,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.966165
267,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.966292
268,Received block blk_<*> of size <*> from /<*>,HIT,0,0.966418
269,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.966543
270,Received block blk_<*> of size <*> from /<*>,HIT,0,0.966667
271,Received block blk_<*> of size <*> from /<*>,HIT,0,0.966790
272,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.966912
273,Received block blk_<*> of size <*> from /<*>,HIT,0,0.967033
274,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.967153
275,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.967273
276,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.967391
277,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HIT,0,0.967509
278,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.967626
279,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.967742
280,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.967857
281,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.967972
282,Received block blk_<*> of size <*> from /<*>,HIT,0,0.968085
283,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.968198
284,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.968310
285,Received block blk_<*> of size <*> from /<*>,HIT,0,0.968421
286,PacketResponder <*> for block blk_<*> terminating,HIT,0,0.968531
287,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.968641
288,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.968750
289,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.968858
290,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HIT,0,0.968966
291,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HIT,0,0.969072
292,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,MISS,0,0.965753
293,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.965870
294,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.965986
295,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.966102
296,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.966216
297,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.966330
298,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.966443
299,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.966555
300,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.966667
301,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.966777
302,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.966887
303,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.966997
304,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.967105
305,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.967213
306,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.967320
307,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.967427
308,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.967532
309,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.967638
310,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.967742
311,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.967846
312,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.967949
313,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.968051
314,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.968153
315,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.968254
316,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.968354
317,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.968454
318,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.968553
319,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.968652
320,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.968750
321,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.968847
322,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.968944
323,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.969040
324,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.969136
325,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.969231
326,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.969325
327,<*>:<*> Served block blk_<*> to /<*>,HIT,0,0.969419
328,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.969512
329,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.969605
330,<*>:<*>:Got exception while serving blk_<*> to /<*>:,HIT,0,0.969697
